date,open,high,low,close,volume,instrument_id
2010-06-07,1061.25,1070.75,1047.0,1049.25,2317993,6640
2010-06-08,1051.5,1063.25,1041.25,1060.5,3307153,6640
2010-06-09,1058.75,1077.75,1051.25,1053.0,2691352,6640
2010-06-10,1055.25,1087.75,1052.5,1085.5,1798787,6640
2010-06-11,1084.75,1092.25,1074.5,1089.5,716356,6640
2010-06-13,1090.5,1095.5,1089.75,1095.25,5518,6640
2010-06-14,1094.75,1106.0,1088.75,1090.5,399393,6640
2010-06-15,1090.0,1115.75,1088.5,1112.25,333698,6640
2010-06-16,1111.25,1119.0,1104.25,1112.5,213469,6640
2010-06-17,1111.0,1122.5,1105.5,1115.5,177800,6640
2010-06-18,1115.5,1119.0,1113.0,1118.75,21665,6640
2010-06-20,1116.0,1127.5,1115.5,1124.25,33521,26714
2010-06-21,1124.5,1129.5,1103.25,1110.75,2138861,26714
2010-06-22,1111.25,1117.0,1089.5,1091.75,2289262,26714
2010-06-23,1092.0,1097.75,1080.25,1084.75,2229777,26714
2010-06-24,1086.5,1091.0,1066.5,1072.75,2557333,26714
2010-06-25,1073.0,1079.5,1062.75,1074.75,2425605,26714
2010-06-27,1074.25,1077.5,1074.25,1075.5,10972,26714
2010-06-28,1075.25,1079.75,1066.5,1070.75,1687469,26714
2010-06-29,1071.75,1074.75,1030.25,1033.75,3110174,26714
2010-06-30,1035.5,1044.5,1022.75,1024.0,2622460,26714
2010-07-01,1026.25,1029.75,1006.0,1022.5,3329192,26714
2010-07-02,1024.25,1032.5,1010.75,1014.25,2123284,26714
2010-07-04,1015.0,1016.5,1013.0,1015.0,6686,26714
2010-07-05,1015.0,1018.5,1007.25,1008.25,120986,26714
2010-07-06,1008.0,1038.5,1002.75,1025.0,2312215,26714
2010-07-07,1024.25,1059.75,1016.25,1058.5,2562899,26714
2010-07-08,1058.0,1068.5,1054.0,1067.0,2092503,26714
2010-07-09,1065.25,1075.0,1063.25,1071.75,1409497,26714
2010-07-11,1071.5,1072.25,1070.0,1070.5,6670,26714
2010-07-12,1070.5,1081.0,1065.5,1079.0,1393232,26714
2010-07-13,1079.5,1099.0,1073.0,1097.75,2043551,26714
2010-07-14,1098.0,1098.5,1083.5,1092.0,1886073,26714
2010-07-15,1091.5,1099.25,1076.25,1093.75,2429681,26714
2010-07-16,1093.75,1094.75,1059.0,1063.25,2475063,26714
2010-07-18,1061.75,1063.0,1060.0,1061.5,10787,26714
2010-07-19,1061.75,1071.0,1057.0,1059.75,1744433,26714
2010-07-20,1061.25,1085.0,1050.75,1080.75,2294129,26714
2010-07-21,1081.0,1087.75,1061.0,1062.75,2395670,26714
2010-07-22,1064.75,1094.5,1061.25,1087.75,2186370,26714
2010-07-23,1091.25,1101.5,1084.0,1101.0,2068815,26714
