date,symbol,instrument_id,open,high,low,close,volume
2010-06-06,ESM0,6640,1064.0,1065.5,1056.5,1061.25,35980
2010-06-06,ESM0-ESU0,601385,-4.3,-4.25,-4.3,-4.3,18
2010-06-06,ESU0,26714,1059.5,1060.5,1052.5,1057.0,528
2010-06-06,ESZ0,3076,1054.25,1054.25,1047.75,1047.75,7
2010-06-07,ESH1,70248,1048.25,1048.25,1037.25,1037.25,3
2010-06-07,ESM0,6640,1061.25,1070.75,1047.0,1049.25,2317993
2010-06-07,ESM0-ESU0,601385,-4.3,-4.25,-4.35,-4.25,62219
2010-06-07,ESM0-ESZ0,602015,-8.65,-8.65,-8.65,-8.65,122
2010-06-07,ESU0,26714,1057.5,1066.5,1043.25,1044.75,26306
2010-06-07,ESZ0,3076,1048.25,1060.5,1040.0,1041.25,68
2010-06-08,ESM0,6640,1051.5,1063.25,1041.25,1060.5,3307153
2010-06-08,ESM0-ESU0,601385,-4.3,-4.25,-4.3,-4.3,86598
2010-06-08,ESM0-ESZ0,602015,-8.95,-8.65,-8.95,-8.65,4
2010-06-08,ESU0,26714,1047.25,1059.0,1037.0,1056.25,50094
2010-06-08,ESU0-ESZ0,602010,-4.3,-4.3,-4.5,-4.35,8
2010-06-08,ESZ0,3076,1044.25,1051.75,1038.25,1051.75,43
2010-06-09,ESH1,70248,1052.0,1055.0,1043.5,1043.5,16
2010-06-09,ESM0,6640,1058.75,1077.75,1051.25,1053.0,2691352
2010-06-09,ESM0-ESU0,601385,-4.3,-4.25,-4.4,-4.35,293641
2010-06-09,ESU0,26714,1054.5,1073.0,1047.25,1048.75,85460
2010-06-09,ESU0-ESZ0,602010,-4.35,-4.35,-4.45,-4.45,12
2010-06-09,ESZ0,3076,1048.25,1065.0,1044.5,1044.5,62
2010-06-10,ESH1,70248,1060.75,1063.75,1060.75,1063.75,2
2010-06-10,ESM0,6640,1055.25,1087.75,1052.5,1085.5,1798787
2010-06-10,ESM0-ESU0,601385,-4.35,-4.25,-4.35,-4.25,611501
2010-06-10,ESM0-ESZ0,602015,-8.9,-8.9,-8.9,-8.9,1
2010-06-10,ESU0,26714,1050.75,1083.5,1048.0,1081.0,1330488
2010-06-10,ESU0-ESZ0,602010,-4.5,-4.4,-4.5,-4.4,5
2010-06-10,ESZ0,3076,1077.5,1078.5,1050.5,1078.0,35
2010-06-11,ESH1,70248,1071.0,1071.0,1068.25,1068.25,2
2010-06-11,ESM0,6640,1084.75,1092.25,1074.5,1089.5,716356
2010-06-11,ESM0-ESU0,601385,-4.25,-4.2,-4.3,-4.25,426739
2010-06-11,ESM0-ESZ0,602015,-8.65,-8.65,-8.65,-8.65,70
2010-06-11,ESU0,26714,1080.5,1088.25,1070.25,1085.0,1779845
2010-06-11,ESU0-ESZ0,602010,-4.5,-4.4,-4.5,-4.4,18
2010-06-11,ESZ0,3076,1073.5,1082.25,1066.5,1081.5,30
2010-06-13,ESM0,6640,1090.5,1095.5,1089.75,1095.25,5518
2010-06-13,ESM0-ESU0,601385,-4.25,-4.2,-4.25,-4.25,42
2010-06-13,ESU0,26714,1087.5,1091.5,1085.75,1090.75,12699
