date,open,high,low,close,volume,instrument_id
2019-05-05,7748.75,7750.0,7700.75,7709.5,188,8078
2019-05-06,7701.25,7817.5,7668.75,7763.75,93025,8078
2019-05-07,7764.5,7804.0,7581.5,7652.75,159183,8078
2019-05-08,7653.75,7697.75,7600.75,7632.75,174036,8078
2019-05-09,7632.25,7642.0,7481.25,7600.0,182615,8078
2019-05-10,7600.0,7653.5,7435.5,7610.25,164130,8078
2019-05-12,7601.0,7601.0,7518.25,7519.5,1949,8078
2019-05-13,7518.0,7533.25,7286.0,7306.75,151006,8078
2019-05-14,7306.25,7459.5,7305.75,7433.25,87797,8078
2019-05-15,7432.25,7538.5,7353.75,7518.0,104777,8078
2019-05-16,7518.0,7641.25,7473.25,7607.75,122863,8078
2019-05-17,7608.5,7619.75,7506.5,7512.0,176068,8078
2019-05-19,7512.75,7546.5,7512.25,7541.75,1941,8078
2019-05-20,7542.75,7559.5,7361.5,7415.25,204228,8078
2019-05-21,7416.0,7485.25,7400.75,7470.75,149161,8078
2019-05-22,7470.25,7474.0,7391.0,7417.75,120828,8078
2019-05-23,7418.5,7421.5,7268.25,7323.5,233329,8078
2019-05-24,7325.25,7379.5,7300.5,7312.0,135498,8078
2019-05-26,7314.75,7327.5,7307.5,7310.75,1505,8078
2019-05-27,7309.75,7338.25,7293.0,7323.25,13960,8078
2019-05-28,7324.5,7371.5,7280.75,7288.5,157219,8078
2019-05-29,7289.75,7291.25,7183.25,7221.25,208350,8078
2019-05-30,7222.25,7271.25,7183.0,7187.5,153922,8078
2019-05-31,7187.5,7217.0,7129.5,7136.25,195670,8078
2019-06-02,7114.75,7114.75,7076.75,7082.25,5006,8078
2019-06-03,7081.75,7132.5,6940.5,7001.75,266791,8078
2019-06-04,7001.75,7211.25,6981.5,7203.75,204822,8078
2019-06-05,7205.25,7245.25,7150.0,7212.25,196413,8078
2019-06-06,7212.75,7299.5,7204.25,7275.75,150975,8078
2019-06-07,7276.0,7452.5,7264.25,7428.75,167108,8078
2019-06-09,7461.25,7484.5,7455.25,7456.0,2421,8078
2019-06-10,7456.0,7578.25,7431.5,7507.75,158581,8078
2019-06-11,7508.0,7601.0,7492.5,7514.25,145405,8078
2019-06-12,7513.0,7531.0,7461.0,7490.0,109750,8078
2019-06-13,7489.5,7536.0,7421.5,7495.75,114512,8078
2019-06-14,7496.0,7521.0,7451.75,7484.25,58509,8078
2019-06-16,7483.75,7503.5,7480.75,7499.75,388,8078
2019-06-17,7496.0,7550.75,7482.75,7536.0,17540,8078
2019-06-18,7536.75,7693.0,7515.5,7657.5,20378,8078
2019-06-19,7656.5,7704.0,7600.25,7699.75,10073,8078
2019-06-20,7701.5,7792.75,7679.25,7737.0,7941,8078
2019-06-21,7736.75,7743.0,7702.75,7720.0,312,8078
2019-06-23,7744.0,7773.5,7716.75,7770.25,1855,8084
2019-06-24,7769.75,7794.0,7746.0,7759.0,100118,8084
2019-06-25,7760.0,7779.75,7609.5,7626.25,186038,8084
2019-06-26,7626.25,7719.0,7622.0,7653.75,157011,8084
2019-06-27,7654.0,7716.75,7650.5,7695.75,122304,8084
2019-06-28,7696.5,7726.0,7664.25,7724.0,127107,8084
2019-06-30,7750.25,7825.75,7750.25,7802.5,5205,8084
2019-07-01,7802.25,7850.25,7758.75,7777.5,168005,8084
2019-07-02,7777.75,7843.25,7762.75,7835.5,134924,8084
2019-07-03,7835.25,7900.75,7824.75,7890.0,88423,8084
2019-07-04,7888.5,7909.25,7881.75,7904.25,13054,8084
2019-07-05,7904.5,7908.5,7797.0,7854.75,161714,8084
2019-07-07,7855.0,7864.25,7842.75,7842.75,1664,8084
2019-07-08,7843.25,7846.75,7777.75,7794.0,126567,8084
2019-07-09,7793.25,7858.75,7743.25,7847.0,176159,8084
2019-07-10,7847.0,7949.5,7811.5,7927.25,240496,8084
2019-07-11,7927.75,7963.25,7894.25,7921.75,242238,8084
2019-07-12,7921.5,7967.75,7918.75,7958.0,166042,8084
2019-07-14,7956.25,7966.75,7950.25,7952.0,1920,8084
2019-07-15,7952.0,7998.25,7941.25,7994.5,157112,8084
2019-07-16,7994.75,8001.5,7924.0,7941.5,190417,8084
