date,symbol,instrument_id,open,high,low,close,volume
2019-05-05,MNQM9,8078,7748.75,7750.0,7700.75,7709.5,188
2019-05-06,MNQM9,8078,7701.25,7817.5,7668.75,7763.75,93025
2019-05-06,MNQU9,8084,7787.75,7787.75,7787.75,7787.75,7
2019-05-07,MNQM9,8078,7764.5,7804.0,7581.5,7652.75,159183
2019-05-07,MNQU9,8084,7716.25,7716.25,7620.0,7701.25,10
2019-05-08,MNQM9,8078,7653.75,7697.75,7600.75,7632.75,174036
2019-05-08,MNQU9,8084,7663.0,7687.0,7645.5,7687.0,3
2019-05-09,MNQM9,8078,7632.25,7642.0,7481.25,7600.0,182615
2019-05-09,MNQU9,8084,7635.0,7635.0,7543.25,7607.0,25
2019-05-10,MNQM9,8078,7600.0,7653.5,7435.5,7610.25,164130
2019-05-10,MNQM9-MNQU9,8228,28.5,28.5,28.5,28.5,1
2019-05-10,MNQU9,8084,7650.0,7665.25,7479.5,7644.75,43
2019-05-12,MNQM9,8078,7601.0,7601.0,7518.25,7519.5,1949
2019-05-12,MNQU9,8084,7576.25,7576.25,7568.0,7568.0,5
2019-05-13,MNQM9,8078,7518.0,7533.25,7286.0,7306.75,151006
2019-05-13,MNQU9,8084,7555.0,7555.25,7329.0,7332.75,142
2019-05-14,MNQM9,8078,7306.25,7459.5,7305.75,7433.25,87797
2019-05-14,MNQU9,8084,7361.25,7458.0,7361.25,7458.0,17
2019-05-15,MNQM9,8078,7432.25,7538.5,7353.75,7518.0,104777
2019-05-15,MNQU9,8084,7463.25,7555.0,7397.25,7548.5,11
2019-05-16,MNQM9,8078,7518.0,7641.25,7473.25,7607.75,122863
2019-05-16,MNQU9,8084,7563.0,7638.5,7563.0,7625.25,22
2019-05-17,MNQM9,8078,7608.5,7619.75,7506.5,7512.0,176068
2019-05-17,MNQU9,8084,7631.25,7640.5,7542.25,7543.0,35
2019-05-19,MNQM9,8078,7512.75,7546.5,7512.25,7541.75,1941
2019-05-19,MNQU9,8084,7550.0,7550.0,7550.0,7550.0,1
