date,open,high,low,close,volume,instrument_id
2010-06-07,1826.25,1845.5,1793.75,1796.5,331884,6641
2010-06-08,1802.0,1817.75,1770.0,1793.25,406839,6641
2010-06-09,1791.75,1823.5,1773.75,1778.25,341131,6641
2010-06-10,1779.75,1831.75,1776.25,1824.0,177135,6641
2010-06-11,1823.0,1848.75,1807.75,1844.0,77933,6641
2010-06-13,1848.0,1877.75,1845.25,1854.75,276,6641
2010-06-14,1854.25,1877.25,1844.0,1847.75,40392,6641
2010-06-15,1849.0,1899.0,1846.25,1893.0,27795,6641
2010-06-16,1891.0,1913.5,1880.0,1902.75,26977,6641
2010-06-17,1901.5,1918.75,1894.0,1910.25,21075,6641
2010-06-18,1909.25,1915.75,1906.25,1915.0,1311,6641
2010-06-20,1923.0,1932.75,1922.0,1932.25,2425,26715
2010-06-21,1932.25,1941.0,1883.75,1900.25,326633,26715
2010-06-22,1900.75,1916.75,1876.5,1880.5,335573,26715
2010-06-23,1880.75,1890.0,1857.75,1867.0,322549,26715
2010-06-24,1869.0,1875.25,1837.25,1848.75,339709,26715
2010-06-25,1849.0,1856.5,1827.25,1839.5,321743,26715
2010-06-27,1839.0,1843.75,1838.5,1841.25,610,26715
2010-06-28,1841.0,1851.5,1821.25,1833.5,282138,26715
2010-06-29,1835.5,1839.5,1748.0,1761.75,478729,26715
2010-06-30,1764.5,1777.5,1732.25,1734.75,369789,26715
2010-07-01,1737.5,1745.75,1698.0,1729.75,505536,26715
2010-07-02,1732.75,1745.75,1710.25,1720.75,316124,26715
2010-07-04,1722.0,1723.5,1718.75,1722.0,414,26715
2010-07-05,1722.25,1728.5,1712.0,1713.5,13619,26715
2010-07-06,1713.5,1762.5,1705.75,1735.75,346494,26715
2010-07-07,1734.5,1792.25,1721.75,1788.25,304871,26715
2010-07-08,1788.0,1803.25,1774.5,1795.0,309481,26715
2010-07-09,1793.25,1815.25,1789.25,1811.75,206768,26715
2010-07-11,1810.0,1811.5,1807.5,1808.75,487,26715
2010-07-12,1808.5,1829.75,1801.25,1824.5,239885,26715
2010-07-13,1825.25,1865.0,1818.0,1862.0,320960,26715
2010-07-14,1863.5,1866.25,1838.0,1853.25,325075,26715
