date,symbol,instrument_id,open,high,low,close,volume
2010-06-06,NQM0,6641,1831.75,1832.25,1813.0,1826.0,3007
2010-06-06,NQM0-NQU0,601432,-1.85,-1.85,-1.85,-1.85,1
2010-06-06,NQU0,26715,1833.5,1833.5,1816.25,1823.25,85
2010-06-06,NQZ0,3088,1823.25,1823.25,1823.25,1823.25,4
2010-06-07,NQM0,6641,1826.25,1845.5,1793.75,1796.5,331884
2010-06-07,NQM0-NQU0,601432,-1.85,-1.7,-2.0,-1.7,1177
2010-06-07,NQU0,26715,1822.5,1843.75,1793.0,1793.25,4227
2010-06-07,NQZ0,3088,1812.75,1812.75,1812.75,1812.75,2
2010-06-08,NQM0,6641,1802.0,1817.75,1770.0,1793.25,406839
2010-06-08,NQM0-NQU0,601432,-1.7,-1.6,-1.75,-1.75,3085
2010-06-08,NQU0,26715,1802.75,1815.75,1768.5,1790.25,6118
2010-06-08,NQZ0,3088,1790.0,1790.0,1768.0,1768.0,4
2010-06-09,NQM0,6641,1791.75,1823.5,1773.75,1778.25,341131
2010-06-09,NQM0-NQU0,601432,-1.75,-1.55,-1.75,-1.65,19899
2010-06-09,NQU0,26715,1786.75,1821.5,1772.25,1777.0,10346
2010-06-09,NQZ0,3088,1790.0,1802.0,1790.0,1802.0,2
2010-06-10,NQM0,6641,1779.75,1831.75,1776.25,1824.0,177135
2010-06-10,NQM0-NQU0,601432,-1.55,-1.45,-1.75,-1.45,53537
2010-06-10,NQU0,26715,1777.5,1830.25,1775.0,1822.5,161857
2010-06-10,NQZ0,3088,1808.25,1815.0,1808.25,1815.0,3
2010-06-11,NQM0,6641,1823.0,1848.75,1807.75,1844.0,77933
2010-06-11,NQM0-NQU0,601432,-1.5,-1.35,-1.6,-1.35,23260
2010-06-11,NQU0,26715,1822.25,1847.5,1806.25,1842.25,233024
2010-06-13,NQM0,6641,1848.0,1877.75,1845.25,1854.75,276
2010-06-13,NQM0-NQU0,601432,-1.35,-1.35,-1.45,-1.4,85
2010-06-13,NQU0,26715,1848.25,1854.5,1842.5,1853.25,966
2010-06-14,NQM0,6641,1854.25,1877.25,1844.0,1847.75,40392
2010-06-14,NQM0-NQU0,601432,-1.4,-1.3,-1.4,-1.35,57741
2010-06-14,NQU0,26715,1852.5,1876.0,1842.75,1846.75,273401
2010-06-14,NQZ0,3088,1860.0,1860.0,1860.0,1860.0,1
2010-06-15,NQM0,6641,1849.0,1899.0,1846.25,1893.0,27795
2010-06-15,NQM0-NQU0,601432,-1.35,-1.2,-1.4,-1.25,47850
2010-06-15,NQU0,26715,1847.0,1898.25,1845.0,1891.75,300111
2010-06-15,NQZ0,3088,1871.5,1892.0,1871.5,1891.75,9
2010-06-16,NQH1,93735,1900.0,1900.0,1900.0,1900.0,1
2010-06-16,NQM0,6641,1891.0,1913.5,1880.0,1902.75,26977
2010-06-16,NQM0-NQU0,601432,-1.2,-0.55,-1.3,-0.95,52033
2010-06-16,NQU0,26715,1890.0,1912.75,1879.0,1902.0,305633
2010-06-16,NQU0-NQZ0,602031,-3.75,-3.75,-3.75,-3.75,1
2010-06-16,NQZ0,3088,1882.0,1916.5,1882.0,1916.5,21
2010-06-17,NQM0,6641,1901.5,1918.75,1894.0,1910.25,21075
2010-06-17,NQM0-NQU0,601432,-1.1,-0.95,-1.4,-1.3,20774
2010-06-17,NQM0-NQZ0,602033,-4.0,-4.0,-4.0,-4.0,1
2010-06-17,NQU0,26715,1900.75,1918.25,1892.75,1909.25,324324
2010-06-17,NQZ0,3088,1903.0,1903.0,1897.0,1901.0,7
2010-06-18,NQM0,6641,1909.25,1915.75,1906.25,1915.0,1311
2010-06-18,NQM0-NQU0,601432,-1.2,-0.85,-1.4,-1.4,2135
2010-06-18,NQU0,26715,1908.5,1924.75,1905.0,1908.75,243476
2010-06-18,NQU0-NQZ0,602031,-2.75,-1.75,-2.75,-1.75,15
2010-06-18,NQZ0,3088,1910.0,1925.0,1904.5,1919.0,47
2010-06-20,NQU0,26715,1923.0,1932.75,1922.0,1932.25,2425
2010-06-20,NQZ0,3088,1925.0,1929.25,1925.0,1928.0,6
2010-06-21,NQU0,26715,1932.25,1941.0,1883.75,1900.25,326633
2010-06-21,NQZ0,3088,1936.0,1936.0,1884.75,1894.0,107
2010-06-22,NQU0,26715,1900.75,1916.75,1876.5,1880.5,335573
2010-06-22,NQU0-NQZ0,602031,-2.1,-2.1,-2.25,-2.25,17
2010-06-22,NQZ0,3088,1908.0,1912.75,1875.0,1877.25,107
2010-06-23,NQH1,93735,1875.0,1875.0,1875.0,1875.0,1
2010-06-23,NQU0,26715,1880.75,1890.0,1857.75,1867.0,322549
2010-06-23,NQU0-NQZ0,602031,-2.25,-2.25,-2.25,-2.25,3
2010-06-23,NQZ0,3088,1881.5,1886.25,1858.0,1871.5,105
2010-06-24,NQU0,26715,1869.0,1875.25,1837.25,1848.75,339709
2010-06-24,NQZ0,3088,1868.25,1872.0,1835.75,1846.25,152
