symbol,direction,entry_time,entry_price,exit_time,exit_price,contracts,pnl,exit_reason
MES,1,2025-12-29 03:30:00+00:00,6977.0,2025-12-29 04:55:00+00:00,6977.112683477861,11,-0.6224087176654578,trail
MES,-1,2025-12-29 07:00:00+00:00,6970.0,2025-12-29 07:25:00+00:00,6971.067928847848,7,-41.71750967467037,trail
MES,-1,2025-12-29 08:00:00+00:00,6966.5,2025-12-29 08:15:00+00:00,6968.902769095753,4,-50.535381915055474,trail
MES,-1,2025-12-29 08:35:00+00:00,6962.25,2025-12-29 09:00:00+00:00,6962.527215896599,4,-8.024317931980914,trail
MES,-1,2025-12-29 12:40:00+00:00,6958.25,2025-12-29 12:50:00+00:00,6960.634295540226,5,-62.70738850565122,trail
MES,-1,2025-12-29 13:45:00+00:00,6947.5,2025-12-29 13:55:00+00:00,6951.778467296515,2,-44.024672965153734,trail
MES,1,2025-12-29 14:35:00+00:00,6964.0,2025-12-29 14:40:00+00:00,6958.092313658768,2,-60.316863412319655,trail
MES,1,2025-12-29 18:35:00+00:00,6952.75,2025-12-29 18:50:00+00:00,6948.248322784381,3,-69.38515823427984,trail
MES,-1,2025-12-30 00:55:00+00:00,6949.5,2025-12-30 01:05:00+00:00,6952.18143068207,9,-126.2443806931379,trail
MES,1,2025-12-30 03:30:00+00:00,6956.0,2025-12-30 05:15:00+00:00,6955.116841308576,6,-30.214760742716607,trail
MES,-1,2025-12-30 06:25:00+00:00,6950.25,2025-12-30 06:45:00+00:00,6953.138162384581,6,-90.36487153742812,trail
MES,-1,2025-12-30 07:00:00+00:00,6949.75,2025-12-30 07:20:00+00:00,6947.509169166672,7,74.08907916647618,trail
MES,-1,2025-12-30 07:20:00+00:00,6945.5,2025-12-30 07:50:00+00:00,6946.674248129793,4,-25.96496259586682,trail
MES,-1,2025-12-30 10:50:00+00:00,6951.75,2025-12-30 11:45:00+00:00,6949.99017922762,8,65.43283089521633,trail
MES,-1,2025-12-30 13:35:00+00:00,6948.5,2025-12-30 13:55:00+00:00,6952.514046345805,6,-124.14139037414017,trail
MES,-1,2025-12-30 14:40:00+00:00,6946.25,2025-12-30 14:45:00+00:00,6951.006076452761,5,-122.00191131901701,trail
MES,-1,2025-12-30 20:10:00+00:00,6947.0,2025-12-30 20:20:00+00:00,6950.034299362793,6,-94.74898088378424,trail
MES,-1,2025-12-31 00:45:00+00:00,6935.75,2025-12-31 01:00:00+00:00,6933.065180029979,4,51.216399400414524,trail
MES,-1,2025-12-31 01:00:00+00:00,6930.0,2025-12-31 01:05:00+00:00,6933.292667170695,3,-51.25000756041878,trail
MES,-1,2025-12-31 05:50:00+00:00,6930.25,2025-12-31 06:15:00+00:00,6930.294959168462,6,-5.068775053857025,trail
MES,-1,2025-12-31 08:30:00+00:00,6924.25,2025-12-31 09:00:00+00:00,6926.317361325749,5,-54.78403314371517,trail
MES,1,2025-12-31 12:15:00+00:00,6934.0,2025-12-31 13:50:00+00:00,6946.845551973062,5,318.0387993265589,trail
MES,1,2025-12-31 13:50:00+00:00,6949.25,2025-12-31 14:20:00+00:00,6947.066493389971,2,-23.07506610029326,trail
MES,-1,2025-12-31 14:35:00+00:00,6933.5,2025-12-31 14:50:00+00:00,6932.529118205505,2,8.46881794494744,trail
MES,-1,2025-12-31 15:15:00+00:00,6923.5,2025-12-31 16:20:00+00:00,6921.501855343403,1,9.370723282985528,trail
MES,1,2025-12-31 18:45:00+00:00,6931.0,2025-12-31 19:15:00+00:00,6929.332878966229,3,-26.866815506562816,trail
MES,-1,2025-12-31 19:30:00+00:00,6913.5,2025-12-31 20:00:00+00:00,6913.924369754237,2,-5.483697542369773,trail
MES,-1,2025-12-31 20:00:00+00:00,6908.0,2025-12-31 20:30:00+00:00,6906.296433906185,1,7.8978304690771255,trail
MES,-1,2025-12-31 20:55:00+00:00,6891.5,2026-01-01 23:00:00+00:00,6897.260764606873,1,-29.423823034363632,trail
MES,1,2026-01-02 01:00:00+00:00,6907.0,2026-01-02 04:35:00+00:00,6921.8256988657495,5,367.5424716437368,trail
MES,1,2026-01-02 06:00:00+00:00,6925.5,2026-01-02 06:55:00+00:00,6923.617328213108,9,-90.30023041015745,trail
MES,-1,2026-01-02 07:10:00+00:00,6920.75,2026-01-02 07:25:00+00:00,6922.910826172472,9,-102.8171777612534,trail
MES,1,2026-01-02 08:10:00+00:00,6928.25,2026-01-02 08:25:00+00:00,6926.275808879731,6,-62.94573360807291,trail
MES,1,2026-01-02 08:50:00+00:00,6931.5,2026-01-02 10:20:00+00:00,6933.9375854043055,4,46.27170808611074,trail
MES,-1,2026-01-02 12:10:00+00:00,6929.25,2026-01-02 12:30:00+00:00,6931.952504083419,5,-70.66260208546791,trail
MES,-1,2026-01-02 14:30:00+00:00,6918.0,2026-01-02 14:35:00+00:00,6921.490776032508,3,-54.22164048761566,trail
MES,-1,2026-01-02 14:35:00+00:00,6915.0,2026-01-02 14:40:00+00:00,6920.473577744471,2,-55.97577744471186,trail
MES,-1,2026-01-02 15:15:00+00:00,6908.0,2026-01-02 15:20:00+00:00,6905.323998654485,1,12.760006727575165,trail
MES,1,2026-01-05 08:10:00+00:00,6916.5,2026-01-05 08:55:00+00:00,6915.572846568176,4,-21.02306863648162,trail
MES,1,2026-01-05 10:20:00+00:00,6921.25,2026-01-05 12:00:00+00:00,6920.996299906694,5,-9.442502332654476,trail
MES,-1,2026-01-05 13:05:00+00:00,6917.0,2026-01-05 13:30:00+00:00,6918.455640129645,5,-39.491003241124055,trail
MES,1,2026-01-05 14:00:00+00:00,6931.0,2026-01-05 14:30:00+00:00,6936.608210390496,2,54.84210390496424,trail
MES,1,2026-01-05 14:30:00+00:00,6939.75,2026-01-05 14:35:00+00:00,6936.207623934033,1,-18.33188032983446,trail
MES,-1,2026-01-05 18:15:00+00:00,6948.5,2026-01-05 18:30:00+00:00,6953.444067748428,3,-76.02101622642145,trail
MES,1,2026-01-06 01:15:00+00:00,6945.5,2026-01-06 04:00:00+00:00,6950.768142932505,8,205.76571730019262,trail
MES,1,2026-01-06 06:20:00+00:00,6956.25,2026-01-06 06:30:00+00:00,6955.316359208244,13,-68.74665146415697,trail
MES,1,2026-01-06 06:30:00+00:00,6958.0,2026-01-06 07:00:00+00:00,6956.34118356471,8,-71.31265741158946,trail
MES,-1,2026-01-06 08:00:00+00:00,6947.75,2026-01-06 08:10:00+00:00,6944.402517993055,4,64.46964013890057,trail
MES,-1,2026-01-06 08:10:00+00:00,6940.75,2026-01-06 08:20:00+00:00,6941.080487453195,2,-4.544874531950191,trail
MES,-1,2026-01-06 08:20:00+00:00,6936.25,2026-01-06 08:30:00+00:00,6936.315573365255,2,-1.8957336525474966,trail
MES,-1,2026-01-06 08:30:00+00:00,6932.25,2026-01-06 08:50:00+00:00,6936.578746696308,1,-22.26373348154186,trail
MES,1,2026-01-06 12:40:00+00:00,6947.0,2026-01-06 13:10:00+00:00,6945.312401795846,6,-54.347946124614026,trail
MES,1,2026-01-06 14:30:00+00:00,6951.5,2026-01-06 14:35:00+00:00,6948.000161073782,3,-54.35758389327326,trail
MES,1,2026-01-06 14:45:00+00:00,6960.75,2026-01-06 15:35:00+00:00,6968.291592214293,2,74.17592214292905,trail
MES,1,2026-01-06 18:45:00+00:00,6984.25,2026-01-06 20:55:00+00:00,6986.489002691236,2,21.150026912362375,trail
MES,-1,2026-01-07 04:00:00+00:00,6985.5,2026-01-07 04:45:00+00:00,6986.492844253089,13,-72.59487645078895,trail
MES,-1,2026-01-07 06:35:00+00:00,6982.5,2026-01-07 07:25:00+00:00,6983.477182149269,10,-55.05910746343143,trail
MES,1,2026-01-07 13:25:00+00:00,6986.5,2026-01-07 13:35:00+00:00,6985.019981539708,7,-56.14064611021408,trail
MES,1,2026-01-07 14:40:00+00:00,6995.0,2026-01-07 14:50:00+00:00,6991.818679964145,3,-49.57980053782045,trail
MES,-1,2026-01-07 15:15:00+00:00,6979.25,2026-01-07 15:30:00+00:00,6986.495655785261,2,-73.69655785261078,trail
MES,-1,2026-01-07 19:10:00+00:00,6986.0,2026-01-07 21:45:00+00:00,6963.735508233568,2,221.40491766432,trail
MES,-1,2026-01-08 02:35:00+00:00,6961.25,2026-01-08 02:45:00+00:00,6959.524596435841,6,48.04210692477071,trail
MES,-1,2026-01-08 02:45:00+00:00,6957.75,2026-01-08 04:25:00+00:00,6956.785174445163,4,16.816511096745234,trail
