symbol,direction,entry_time,entry_price,exit_time,exit_price,contracts,pnl,exit_reason
MES,1,2026-01-02 14:30:00+00:00,6918.5,2026-01-02 14:35:00+00:00,6917.014483048436,33,-265.57029700806373,stop
MES,1,2026-01-02 14:35:00+00:00,6915.5,2026-01-02 14:40:00+00:00,6911.6606761330295,12,-237.79943201823102,stop
MES,-1,2026-01-06 12:40:00+00:00,6946.5,2026-01-06 12:55:00+00:00,6949.038503993972,19,-252.93787942733732,stop
MES,1,2026-01-09 01:15:00+00:00,6958.5,2026-01-09 01:30:00+00:00,6955.4891133782785,16,-250.79092973772086,stop
MES,-1,2026-01-14 20:30:00+00:00,6962.0,2026-01-14 20:55:00+00:00,6968.690562242495,7,-238.50967848731474,stop
MES,1,2026-01-16 11:55:00+00:00,6993.5,2026-01-16 12:55:00+00:00,6989.865279436829,13,-244.3168366061123,stop
MES,-1,2026-01-21 19:25:00+00:00,6901.25,2026-01-21 19:30:00+00:00,6905.453959261151,11,-238.03775936329868,stop
MES,1,2026-01-22 19:55:00+00:00,6945.0,2026-01-22 20:25:00+00:00,6938.277033537197,7,-239.64382619810553,stop
MES,1,2026-01-26 21:00:00+00:00,6980.0,2026-01-26 23:00:00+00:00,6974.831837027139,9,-238.147333778743,stop
MES,1,2026-01-27 08:35:00+00:00,6994.75,2026-01-27 10:55:00+00:00,7000.3,11,298.43000000001,target
MES,1,2026-01-28 12:15:00+00:00,7024.0,2026-01-28 13:10:00+00:00,7021.363414799408,18,-248.45266805327824,stop
MES,1,2026-01-29 11:00:00+00:00,7012.5,2026-01-29 11:30:00+00:00,7020.875,6,247.53,target
MES,-1,2026-01-29 20:50:00+00:00,6987.5,2026-01-29 20:55:00+00:00,6994.821687800793,6,-223.3706340238011,stop
MES,-1,2026-01-29 20:55:00+00:00,6989.5,2026-01-29 21:30:00+00:00,7001.471729778948,3,-181.43594668422645,stop
MES,-1,2026-02-04 06:40:00+00:00,6955.25,2026-02-04 08:20:00+00:00,6947.9625,6,214.90500000001092,target
MES,1,2026-02-04 15:00:00+00:00,6918.5,2026-02-04 15:20:00+00:00,6945.7375,5,677.8375000000045,target
MES,1,2026-02-05 02:10:00+00:00,6908.75,2026-02-05 02:15:00+00:00,6905.782058089817,16,-247.35535281464573,stop
MES,1,2026-02-05 02:15:00+00:00,6908.75,2026-02-05 02:55:00+00:00,6898.8578845260745,4,-200.32230947851028,stop
MES,1,2026-02-05 12:20:00+00:00,6886.75,2026-02-05 12:25:00+00:00,6883.182976817135,13,-239.9165068862472,stop
MES,-1,2026-02-06 09:10:00+00:00,6830.5,2026-02-06 09:25:00+00:00,6836.769006464206,7,-223.7552262471971,stop
MES,-1,2026-02-06 14:30:00+00:00,6879.5,2026-02-06 14:35:00+00:00,6883.264505126702,12,-233.31030760210837,stop
MES,-1,2026-02-06 14:35:00+00:00,6888.75,2026-02-06 14:40:00+00:00,6896.517202896957,6,-236.73608690871944,stop
MES,-1,2026-02-09 15:15:00+00:00,6967.75,2026-02-09 15:55:00+00:00,6985.439688685781,2,-178.13688685781221,stop
MES,1,2026-02-10 18:25:00+00:00,6975.0,2026-02-10 20:50:00+00:00,6966.964292798673,5,-203.99268003316647,stop
MES,1,2026-02-11 08:15:00+00:00,6964.25,2026-02-11 08:30:00+00:00,6973.5,13,593.19,target
MES,1,2026-02-11 10:00:00+00:00,6955.75,2026-02-11 11:15:00+00:00,6971.225,12,921.0600000000218,target
MES,-1,2026-02-11 13:30:00+00:00,6995.5,2026-02-11 13:45:00+00:00,6996.365847125948,55,-272.2079596356358,stop
MES,1,2026-02-13 05:20:00+00:00,6839.75,2026-02-13 05:40:00+00:00,6834.976040974162,10,-244.89795129189696,stop
MES,-1,2026-02-16 07:05:00+00:00,6868.25,2026-02-16 08:05:00+00:00,6873.105261086063,9,-224.06674887285143,stop
MES,1,2026-02-16 14:10:00+00:00,6863.25,2026-02-16 14:15:00+00:00,6861.010099723642,21,-248.20952901756166,stop
MES,-1,2026-02-24 02:20:00+00:00,6869.25,2026-02-24 02:35:00+00:00,6871.698744894803,19,-244.41076500628358,stop
MES,1,2026-02-24 12:35:00+00:00,6851.75,2026-02-24 12:45:00+00:00,6846.36749062881,8,-220.26037484761125,stop
MES,1,2026-02-24 12:45:00+00:00,6846.75,2026-02-24 13:30:00+00:00,6860.4625,5,339.7124999999909,target
MES,-1,2026-02-25 11:45:00+00:00,6921.0,2026-02-25 12:15:00+00:00,6926.09318092116,9,-234.7731414521878,stop
MES,-1,2026-02-25 16:45:00+00:00,6950.75,2026-02-25 19:30:00+00:00,6960.210667654557,4,-191.6933530911451,stop
MES,-1,2026-03-05 00:15:00+00:00,6897.0,2026-03-05 01:15:00+00:00,6884.625,6,367.53,target
MES,-1,2026-03-05 09:05:00+00:00,6884.0,2026-03-05 13:05:00+00:00,6855.55,4,566.5199999999963,target
MES,1,2026-03-06 08:25:00+00:00,6830.0,2026-03-06 08:45:00+00:00,6843.5,9,601.92,target
MES,-1,2026-03-09 09:25:00+00:00,6680.5,2026-03-09 13:40:00+00:00,6654.525,2,258.51000000000363,target
MES,1,2026-03-10 03:40:00+00:00,6768.5,2026-03-10 05:00:00+00:00,6782.525,4,278.0199999999927,target
