n,insufficient,mean_bps,baseline_mean_bps,prob_positive,mean_abs_bps,skew,prob_beyond_baseline_p95,prob_beyond_baseline_p05,t_stat_vs_baseline,p_value_vs_baseline,symbol,split,hypothesis,run_length_k,horizon_bars
7307,False,0.149509117455544,0.28694543347612245,0.5152593403585602,11.018028438374404,0.5554703211428361,0.05542630354454633,0.05542630354454633,-0.5736637855575277,0.5662129970511812,MES,discovery,H1_run_persistence,3,10
4596,False,0.5590520640761698,0.5749546171777185,0.5239338555265448,15.896786004727508,2.0167358327336946,0.05004351610095736,0.05330722367275892,-0.036929473384605706,0.9705428435819451,MES,discovery,H1_run_persistence,3,20
2634,False,0.8688982745644974,1.1492413830124588,0.5436598329536826,22.72213349992312,0.6109042475362325,0.0489749430523918,0.054290053151100984,-0.3644471016726323,0.715553434039473,MES,discovery,H1_run_persistence,3,40
2245,False,0.5130865405164174,0.28694543347612245,0.5158129175946548,12.065429201444484,0.7084092168967857,0.06280623608017817,0.06325167037861916,0.5350331881553196,0.5926799202774024,MES,discovery,H1_run_persistence,5,10
1865,False,0.9508510232940971,0.5749546171777185,0.5238605898123324,17.361231305384205,0.5736381687919934,0.06595174262734585,0.06166219839142091,0.5456546659530983,0.5853686300132149,MES,discovery,H1_run_persistence,5,20
1419,False,1.554524199080014,1.1492413830124588,0.5313601127554616,25.513720666625332,2.5037269501227706,0.06272022551092318,0.05708245243128964,0.3138984909276812,0.7536443074846247,MES,discovery,H1_run_persistence,5,40
251,False,1.0596160716764411,0.28694543347612245,0.49800796812749004,13.210471247739303,0.7531675170723541,0.08764940239043825,0.06374501992031872,0.5684386444673638,0.5702473918049861,MES,discovery,H1_run_persistence,8,10
245,False,0.165064451850204,0.5749546171777185,0.5265306122448979,18.205461593156112,-1.0417501300402336,0.06938775510204082,0.0653061224489796,-0.22561999358631474,0.8216858514151165,MES,discovery,H1_run_persistence,8,20
236,False,-4.517748266552587,1.1492413830124588,0.5127118644067796,30.089247764256367,-3.2731944572398968,0.05508474576271186,0.1016949152542373,-1.6353105916086268,0.10332265401337434,MES,discovery,H1_run_persistence,8,40
7958,False,0.2142452444156455,0.33501323588971044,0.5232470469967329,14.084885639946247,0.03576655705205596,0.0507665242523247,0.05139482281980397,-0.4329194067132788,0.6650850544897042,MNQ,discovery,H1_run_persistence,3,10
4849,False,0.3662666213047017,0.6717902919769171,0.5347494328727572,20.745169063152314,0.8408930666807911,0.04887605691895236,0.051763250154671064,-0.5748948021712641,0.5653891226105751,MNQ,discovery,H1_run_persistence,3,20
2708,False,1.3181779544104786,1.3440923741333435,0.5299113737075333,30.05393873576031,1.410354992070382,0.050590841949778434,0.055760709010339735,-0.026814519214456656,0.9786096492281385,MNQ,discovery,H1_run_persistence,3,40
2897,False,1.4225591369955968,0.33501323588971044,0.5312392129789437,14.504331581609298,0.8125641771688568,0.0617880566102865,0.045219192267863306,2.4391591646721342,0.014781141266775486,MNQ,discovery,H1_run_persistence,5,10
2332,False,2.2387949625781127,0.6717902919769171,0.5484562607204116,20.83984670165993,0.5116049251636039,0.0604631217838765,0.05060034305317324,2.191791615974213,0.02849315941632569,MNQ,discovery,H1_run_persistence,5,20
1710,False,1.8248024640652436,1.3440923741333435,0.5485380116959064,31.118931113780057,2.0513302064063494,0.05380116959064327,0.05555555555555555,0.35778747816286266,0.7205465439657313,MNQ,discovery,H1_run_persistence,5,40
360,False,1.5426991152097453,0.33501323588971044,0.5055555555555555,15.414971526731556,0.6744628316071396,0.06944444444444445,0.06666666666666667,0.9261087191336006,0.3550116247703798,MNQ,discovery,H1_run_persistence,8,10
349,False,0.5025522910977732,0.6717902919769171,0.5616045845272206,21.546970294475965,-0.8769952665727067,0.06876790830945559,0.05730659025787966,-0.09079545530255269,0.927707358845035,MNQ,discovery,H1_run_persistence,8,20
325,False,-0.7618452548049023,1.3440923741333435,0.5507692307692308,33.240291968648116,-2.9464921907323345,0.055384615384615386,0.08,-0.633749365815377,0.5266915353507945,MNQ,discovery,H1_run_persistence,8,40
