n,insufficient,mean_bps,baseline_mean_bps,prob_positive,mean_abs_bps,skew,prob_beyond_baseline_p95,prob_beyond_baseline_p05,t_stat_vs_baseline,p_value_vs_baseline,symbol,split,hypothesis,decile,variant,horizon_bars
4455,False,0.6232591239264231,0.28694543347612245,0.4965207631874299,9.810467254302797,3.276110189305209,0.049607182940516276,0.037037037037037035,1.2072527963526916,0.2273989103264421,MES,discovery,H2_close_location,0.85,top_decile,10
3685,False,0.33319375142813296,0.28694543347612245,0.5215739484396201,11.559028843989395,2.721901840327471,0.05508819538670285,0.06350067842605156,0.13393946338657778,0.8934577602669725,MES,discovery,H2_close_location,0.85,bottom_decile,10
3198,False,1.24303022194568,0.5749546171777185,0.524390243902439,14.199686508389307,5.387904612639488,0.04815509693558474,0.040963101938711693,1.3686513327521657,0.1712044514128466,MES,discovery,H2_close_location,0.85,top_decile,20
2707,False,0.17971976167536918,0.5749546171777185,0.5293683043960103,16.560652094928876,-0.6308412617498206,0.05652013298854821,0.0657554488363502,-0.7119796709216011,0.47653874124927675,MES,discovery,H2_close_location,0.85,bottom_decile,20
2107,False,1.7623987637983078,1.1492413830124588,0.527764594209777,21.717708703704652,2.6521662900886773,0.04983388704318937,0.03939250118652112,0.6867827679726894,0.49229524242978107,MES,discovery,H2_close_location,0.85,top_decile,40
1899,False,0.6694874230228813,1.1492413830124588,0.5439705107951553,23.269399022633692,2.516670340396779,0.049499736703528176,0.05318588730911006,-0.4886803705835312,0.625124460411706,MES,discovery,H2_close_location,0.85,bottom_decile,40
4058,False,0.6191170097507075,0.28694543347612245,0.49630359783144407,9.550004735162249,0.37632061259057037,0.050763923114834894,0.03523903400689995,1.2908525603161303,0.1968283610136462,MES,discovery,H2_close_location,0.9,top_decile,10
3082,False,0.5634999760273871,0.28694543347612245,0.5298507462686567,11.987706634166493,2.873166814255054,0.06197274497079818,0.06391953277092798,0.7026443491219033,0.48233050003525846,MES,discovery,H2_close_location,0.9,bottom_decile,10
2936,False,1.1235742797277484,0.5749546171777185,0.5262261580381471,14.340839296568552,5.532941643380612,0.048365122615803814,0.04257493188010899,1.0673076569882287,0.28592071272767733,MES,discovery,H2_close_location,0.9,top_decile,20
2334,False,0.4165230915263579,0.5749546171777185,0.5351328191945158,17.154471267744807,-1.0008572528545212,0.061268209083119106,0.06555269922879177,-0.26048103713837034,0.7945157283758508,MES,discovery,H2_close_location,0.9,bottom_decile,20
