n,insufficient,mean_bps,baseline_mean_bps,prob_positive,mean_abs_bps,skew,prob_beyond_baseline_p95,prob_beyond_baseline_p05,t_stat_vs_baseline,p_value_vs_baseline,symbol,split,hypothesis,lookback,variant,horizon_bars
33,False,1.196628543566462,0.28694543347612245,0.5454545454545454,21.051202518906944,-0.0721057186799855,0.15151515151515152,0.21212121212121213,0.19321989721855223,0.8480079479037732,MES,discovery,H3_vol_transition,5,release,10
13,True,2.889385119228922,0.28694543347612245,0.5384615384615384,9.650016190745689,1.336365840162666,0.15384615384615385,0.0,0.6388613063802441,0.534917305502684,MES,discovery,H3_vol_transition,5,exhaustion,10
33,False,-8.76527241175851,0.5749546171777185,0.5454545454545454,30.96219175170401,-0.5314909265158233,0.09090909090909091,0.24242424242424243,-1.3262683280176273,0.19413953770930462,MES,discovery,H3_vol_transition,5,release,20
13,True,7.564486905127061,0.5749546171777185,0.6153846153846154,10.742161194053486,1.5311831088002184,0.15384615384615385,0.0,1.5126922842578536,0.15623976574238266,MES,discovery,H3_vol_transition,5,exhaustion,20
33,False,-6.030564976161578,1.1492413830124588,0.48484848484848486,37.775909309726735,-0.5455798658052019,0.06060606060606061,0.15151515151515152,-0.8255748543322388,0.41515796428381957,MES,discovery,H3_vol_transition,5,release,40
13,True,10.360518806201446,1.1492413830124588,0.6923076923076923,19.54340255391019,0.24408433995331985,0.07692307692307693,0.0,1.3493494554688115,0.2021333165126477,MES,discovery,H3_vol_transition,5,exhaustion,40
42,False,7.291587380362772,0.33501323588971044,0.5952380952380952,34.2125188600033,-0.22366050916113225,0.21428571428571427,0.16666666666666666,1.0733863772910441,0.2893749130123178,MNQ,discovery,H3_vol_transition,5,release,10
10,True,7.379454551365905,0.33501323588971044,0.4,12.933993571681457,1.306396854313853,0.2,0.0,1.0908892149091036,0.30366430559106117,MNQ,discovery,H3_vol_transition,5,exhaustion,10
42,False,-4.271836326080403,0.6717902919769171,0.5714285714285714,43.31120711533333,-0.575394188032898,0.11904761904761904,0.16666666666666666,-0.5433124024746053,0.5898566952035045,MNQ,discovery,H3_vol_transition,5,release,20
10,True,4.372256700404753,0.6717902919769171,0.5,15.142128655320386,0.37761845121629645,0.1,0.0,0.4779536171433614,0.6440783791737997,MNQ,discovery,H3_vol_transition,5,exhaustion,20
42,False,1.9710696697259174,1.3440923741333435,0.6190476190476191,51.29249500514572,-1.1437311858672972,0.07142857142857142,0.14285714285714285,0.054475205472460146,0.9568211495556679,MNQ,discovery,H3_vol_transition,5,release,40
10,True,-5.509599434095902,1.3440923741333435,0.3,25.401592074364874,-0.22681586182222765,0.0,0.1,-0.6091739262929975,0.5574715269070301,MNQ,discovery,H3_vol_transition,5,exhaustion,40
42,False,3.997487332728671,0.3352156255953169,0.5714285714285714,31.32647769353659,-0.5689833765402681,0.21428571428571427,0.14285714285714285,0.6156873739886702,0.5415038570144152,NQ,discovery,H3_vol_transition,5,release,10
13,True,4.839691626126528,0.3352156255953169,0.5384615384615384,9.403904277170202,1.6711124044328753,0.07692307692307693,0.0,1.1304881335775638,0.2803597629319199,NQ,discovery,H3_vol_transition,5,exhaustion,10
42,False,-6.532004386571336,0.6720929962517687,0.5476190476190477,41.82791377313374,-0.7317628486184928,0.11904761904761904,0.16666666666666666,-0.8240837225853601,0.4146603810856076,NQ,discovery,H3_vol_transition,5,release,20
13,True,7.981180749144266,0.6720929962517687,0.5384615384615384,12.69446755641292,1.5293399390249174,0.07692307692307693,0.0,1.3970236899430355,0.1877046645573678,NQ,discovery,H3_vol_transition,5,exhaustion,20
42,False,-3.141916736525075,1.3449448014468262,0.5714285714285714,50.71382597870885,-1.1082064058812906,0.047619047619047616,0.16666666666666666,-0.39420356928864997,0.6954737244991023,NQ,discovery,H3_vol_transition,5,release,40
13,True,9.58528741026549,1.3449448014468262,0.6153846153846154,19.899468067592352,0.49159067301533294,0.0,0.0,1.081736890834129,0.30062885653968097,NQ,discovery,H3_vol_transition,5,exhaustion,40
