symbol,tail,confound,variant,n,insufficient,skew,mean_bps
MES,top,recent_return_direction,prior20_up,2765,False,5.73115894851202,1.298144411881347
MES,top,recent_return_direction,prior20_down,171,False,-1.1021581917606098,-1.6991532957383348
MES,top,recent_return_magnitude,|ret20|_top_half,1240,False,6.368766456056617,2.229732927675965
MES,top,recent_return_magnitude,|ret20|_bottom_half,1696,False,0.04844797072314491,0.31482621165240116
MES,top,volatility_level,atr_pctile>=0.5,1410,False,5.011145914675305,2.1641301275589893
MES,top,volatility_level,atr_pctile<0.5,1517,False,1.9232753438368326,0.20483384675753402
MES,top,volatility_transition,near_transition,2,True,,
MES,top,volatility_transition,not_near_transition,2934,False,5.559708022219849,1.1100303836636942
MES,top,rth_overnight,RTH,864,False,5.724896009604105,2.0208440610981757
MES,top,rth_overnight,overnight,2072,False,2.4637719735502,0.7494231739825508
MES,top,trend_state,above_sma200,1993,False,6.569435698103406,0.9348006390908489
MES,top,trend_state,below_sma200,943,False,2.773446248058396,1.5225412635976747
MES,bottom,recent_return_direction,prior20_up,46,False,-0.13947890784621955,5.585228976027491
MES,bottom,recent_return_direction,prior20_down,2288,False,-1.0398810075829037,0.3126068018904085
MES,bottom,recent_return_magnitude,|ret20|_top_half,1149,False,-1.0317125812572001,-0.2895811376494773
MES,bottom,recent_return_magnitude,|ret20|_bottom_half,1185,False,0.219593793654843,1.1011760529803956
MES,bottom,volatility_level,atr_pctile>=0.5,1169,False,-0.7729288913560123,0.6715517831721723
MES,bottom,volatility_level,atr_pctile<0.5,1152,False,-1.8147458950186408,0.26515530974572576
MES,bottom,volatility_transition,near_transition,1,True,,
MES,bottom,volatility_transition,not_near_transition,2333,False,-1.0003816844746307,0.4044246424975881
MES,bottom,rth_overnight,RTH,669,False,-0.3695317199131301,0.14885655278881754
MES,bottom,rth_overnight,overnight,1665,False,-1.6421787894099702,0.5240719890731533
MES,bottom,trend_state,above_sma200,930,False,-1.262339380792861,-0.46872545625395595
MES,bottom,trend_state,below_sma200,1404,False,-0.9257997728871121,1.0029056765945144
MNQ,top,recent_return_direction,prior20_up,2749,False,3.9536454552597724,1.5809625698896481
MNQ,top,recent_return_direction,prior20_down,138,False,-0.021605843878041875,3.173402263499542
MNQ,top,recent_return_magnitude,|ret20|_top_half,1185,False,3.6487571238408005,3.1437390527837046
MNQ,top,recent_return_magnitude,|ret20|_bottom_half,1702,False,2.0530174598370525,0.6220122440898291
MNQ,top,volatility_level,atr_pctile>=0.5,1411,False,3.6162894512841124,3.0634960026216893
MNQ,top,volatility_level,atr_pctile<0.5,1467,False,0.45195345577421014,0.4653362690392396
MNQ,top,volatility_transition,near_transition,4,True,,
MNQ,top,volatility_transition,not_near_transition,2883,False,3.926882449356308,1.6946338745500407
